Breed,Age,Height,Weight,Character Traits,Health_Problems
Irish Wolfhound,8,32.5,25.7,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Papillon,15,11,40.5,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Australian Cattle Dog,14,18.5,13.7,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Brussels Griffon,15,10,28,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Pekingese,15,9,18.4,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Toy Poodle,15,11,14.6,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Gordon Setter,15,25,32.4,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Great Pyrenees,12,28.5,32,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Pomeranian,16,7,33.5,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Shar Pei,12,19,24.1,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Cocker Spaniel,15,14.5,15.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Anatolian Shepherd,14,28,22.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Irish Wolfhound,10,32.5,27,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Newfoundland,11,27,22.6,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Pomeranian,16,7,11.8,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Weimaraner,12,27,21.3,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Vizsla,14,22,17.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Jack Russell Terrier,15,12,19.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
German Shepherd,10,24,26.5,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Dachshund,15,9,8.2,"Loyal, energetic, playful, curious","Intervertebral disc disease, hip dysplasia, diabetes"
Scottish Deerhound,10,30,20.6,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Finnish Spitz,15,17.5,28.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Standard Schnauzer,15,19,16.7,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Old English Sheepdog,12,24,37.6,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Scottish Deerhound,10,30,29.3,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Cocker Spaniel,15,14.5,12,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
German Shepherd,10,24,24.6,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Border Collie,15,20,27.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Setter,15,25,28.4,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Italian Greyhound,15,14,20.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Corgi,15,12,6.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Chinese Crested,15.5,13,13.2,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Irish Setter,15,26,20.3,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Borzoi,12,27.5,13.9,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Lhasa Apso,15,11,17.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Mastiff,10,32,12.5,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Irish Wolfhound,8,32.5,14.7,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Field Spaniel,14,16.5,15.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,15,25,37.4,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Shar Pei,12,19,15,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Bichon Frise,15,11,31.9,"Playful, affectionate, intelligent, social","Dental problems, eye problems, bladder stones"
Irish Wolfhound,8,32.5,18.7,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Welsh Springer Spaniel,14,22.5,25.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bull Terrier,12,21,21.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Pomeranian,16,7,24.4,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Irish Wolfhound,8,32.5,25.5,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Basset Hound,12,15,29.7,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Cocker Spaniel,15,14.5,13,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Irish Wolfhound,8,32.5,35.8,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Pomeranian,16,7,16.9,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Old English Sheepdog,12,24,20.2,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Belgian Malinois,14,24,24.1,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
English Setter,15,25,20.9,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Pug,15,14,10.5,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Cardigan Welsh Corgi,14,12,34.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,15,26,3.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Saint Bernard,10,28,10.8,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Greyhound,12,28,47.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Irish Setter,15,26,37.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Brussels Griffon,15,10,20.4,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
English Toy Spaniel,14,12,31.8,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Shar Pei,12,19,19.3,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Australian Cattle Dog,16,18.5,36.5,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pekingese,15,9,20.8,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Cocker Spaniel,15,14.5,15.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Shiba Inu,15,14.5,28.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Rottweiler,10,24.5,28.6,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Welsh Corgi,15,12,17,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Boston Terrier,13,16,7.9,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Flat-Coated Retriever,14,23.5,31.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Finnish Spitz,15,17.5,23.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Terrier,15,11,29.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Doberman Pinscher,12,26,28.3,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Papillon,15,11,45.8,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Poodle,15,15,3.7,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Miniature Shiba Inu,15,14.5,29.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Poodle,15,15,22.2,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Saluki,14,25.5,8.6,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Border Collie,15,20,31.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,14,25.5,27,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Boston Terrier,13,16,17.2,"Intelligent, energetic, affectionate, good-natured","Eye problems, respiratory issues, skin allergies"
Old English Sheepdog,12,24,20.9,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Bloodhound,12,24.5,20.1,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Scottish Deerhound,10,30,23.2,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
American Bulldog,12,24,16.1,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
West Highland White Terrier,16,12,22.2,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Basset Hound,12,15,24.6,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Basset Hound,12,15,43.2,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Bloodhound,12,24.5,24,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
English Setter,14,26,21.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Mastiff,10,32,16.7,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Bulldog,10,16,18.1,"Loyal, calm, gentle, brave","Skin allergies, respiratory issues, obesity"
Labrador Retriever,12,22.5,14.3,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
Shar Pei,12,19,35.9,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
West Highland White Terrier,16,12,10.2,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Jack Russell Terrier,15,12,28.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Standard Poodle,15,18.5,18.4,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Australian Kelpie,14,18.5,13.9,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pointer,15,24,12.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Basset Hound,12,15,25.8,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
American Eskimo Dog,15,17,25.6,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Welsh Terrier,15,12,18.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,14,25.5,27.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,14,22.5,18.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,12,26,28,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Staffordshire Bull Terrier,14,15,11.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Toy Spaniel,14,12,23.1,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Papillon,15,11,11.7,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Shar Pei,12,19,17.9,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Kuvasz,12,27,17.5,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Miniature Poodle,15,15,27,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Shar Pei,12,19,2.9,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
English Setter,15,25,25.9,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Anatolian Shepherd,14,28,31,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Pug,15,14,25.8,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Standard Schnauzer,15,19,8.8,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Irish Water Spaniel,14,22.5,19.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Terrier,14,15,-2.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,14,21.5,41.1,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Cocker Spaniel,15,14.5,45.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
German Shepherd,10,24,20.5,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Australian Terrier,15,11,23.9,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Belgian Malinois,14,24,8.6,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Saint Bernard,10,28,23.7,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Pomeranian,16,7,18.6,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Maltese,15,10,27.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,12,26,20.5,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Australian Terrier,15,11,28.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
West Highland White Terrier,16,12,20,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Jack Russell Terrier,15,12,26,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Weimaraner,12,27,27.6,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Miniature Shiba Inu,15,14.5,28.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Chinese Crested,15.5,13,29.9,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Welsh Corgi,15,12,16.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Doberman Pinscher,12,26,7.2,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Border Terrier,16,16,2.1,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Lhasa Apso,15,11,11.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Miniature Poodle,15,15,17.1,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
French Bulldog,12,12,25,"Affectionate, playful, good-natured","Breathing problems, eye problems, hip dysplasia"
Pharaoh Hound,14,23,17.3,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Irish Setter,15,26,27.6,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Irish Wolfhound,10,32.5,9.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Harrier,14,19.5,18.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Wolfhound,8,32.5,21.3,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Border Collie,15,20,42.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,15,20.5,34.3,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Golden Retriever,14,22.5,31.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Cocker Spaniel,15,14.5,12.2,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Miniature Shiba Inu,15,14.5,15.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
English Setter,14,26,27.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Stumpy Tail Cattle Dog,14,18.5,25.7,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
English Setter,15,25,11.5,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Weimaraner,12,27,12.6,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Africanis,15,23.5,18.9,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Toy Poodle,15,11,25.9,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Great Dane,10,31,1.1,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Shetland Sheepdog,14,14.5,32.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Beagle,15,14,30.8,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Greyhound,12,28,17.6,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Pomeranian,16,7,8.5,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Pomeranian,16,7,26.6,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Cocker Spaniel,15,14.5,31.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Springer Spaniel,14,22.5,12.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Great Dane,10,31,15.1,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Australian Cattle Dog,16,18.5,24,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pointer,15,24,25,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Greyhound,12,28,29,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Basset Hound,12,15,16,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Miniature Poodle,15,15,19.8,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Saint Bernard,10,28,35.4,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Africanis,15,23.5,19.6,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Lhasa Apso,15,11,16.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Newfoundland,11,27,35.5,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Miniature Poodle,15,15,26,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Belgian Tervuren,14,24,18.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Rhodesian Ridgeback,12,26,3.9,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Mastiff,10,32,8.9,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Akita,12,26,12.6,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Cocker Spaniel,15,14.5,24.3,"Affectionate, intelligent, energetic, good-natured","Ear infections, hip dysplasia, eye problems"
Brussels Griffon,15,10,25.3,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Great Dane,10,31,14.3,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Shar Pei,12,19,11.9,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Akita,12,26,35.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Pomeranian,16,7,23.4,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Pointer,15,24,22.7,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Toy Poodle,15,11,14.5,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Pomeranian,16,7,22.1,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Poodle,15,15,30.2,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Pomeranian,16,7,6.9,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Belgian Malinois,14,24,12.9,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Miniature Shiba Inu,15,14.5,37,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Welsh Corgi,15,12,21.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Affenpinscher,15,11,32.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye problems, skin allergies"
English Setter,15,25,15.2,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Welsh Corgi,15,12,29.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Greyhound,12,28,10.7,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Australian Kelpie,14,18.5,19.7,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Chinese Crested,15.5,13,28.4,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, skin allergies"
Miniature Poodle,15,15,26.2,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Coton de Tulear,14,11,15.4,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Irish Setter,15,26,11.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Golden Retriever,14,22.5,29.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Finnish Spitz,15,17.5,23.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pug,15,14,17.3,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Irish Setter,15,26,23,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Irish Setter,14,27,30.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,15,26,22.4,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Rhodesian Ridgeback,12,26,25,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Vizsla,14,22,28.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Greyhound,12,28,23.9,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Catahoula Leopard Dog,14,23,0.9,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Irish Water Spaniel,14,22.5,23.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pug,15,14,19.8,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Miniature Schnauzer,15,14,25,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Toy Poodle,15,11,2.2,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
English Setter,15,25,8.1,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Pug,15,14,9.7,"Intelligent, energetic, playful, good-natured","Dental problems, respiratory issues, eye problems"
Borzoi,12,27.5,17.8,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Labrador Retriever,12,22.5,7,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
Wirehaired Pointing Griffon,14,22.5,25.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Gordon Setter,15,25,7.3,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Mastiff,10,32,19.5,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Pug,15,14,51.2,"Loyal, playful, affectionate, social, charming","Eye problems, respiratory issues, obesity"
Newfoundland,11,27,16.1,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Giant Schnauzer,12,26.5,19,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Wirehaired Pointing Griffon,14,22.5,9.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Poodle,15,15,7.9,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Italian Greyhound,15,14,29.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Bloodhound,12,24.5,34.9,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
English Setter,14,26,25.6,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Kuvasz,12,27,20.7,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Brussels Griffon,15,10,15.2,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, respiratory issues"
Staffordshire Bull Terrier,14,15,22.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Great Pyrenees,12,28.5,17.7,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Irish Setter,15,26,20.8,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Welsh Springer Spaniel,14,22.5,16.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Keeshond,15,18,16.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Papillon,15,11,27.2,"Intelligent, energetic, affectionate, good-natured","Dental problems, eye problems, bladder stones"
Irish Setter,15,26,35.4,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Wirehaired Pointing Griffon,14,22.5,28.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,14,21.5,8.7,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Poodle,15,15,20.6,"Intelligent, active, affectionate, hypoallergenic","Hip dysplasia, epilepsy, bladder stones"
Shar Pei,12,19,22.3,"Independent, loyal, intelligent, good-natured","Skin allergies, eye problems, hip dysplasia"
Yorkshire Terrier,15,8,6.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Cardigan Welsh Corgi,14,12,12.7,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Yorkshire Terrier,15,8,37.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Irish Setter,15,26,36.1,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Belgian Malinois,14,24,12.5,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Wirehaired Pointing Griffon,14,22.5,24.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,14,18.5,25.4,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Basset Hound,12,15,18.3,"Affectionate, patient, gentle, good-natured","Dental problems, ear infections, obesity"
Boxer,12,23,5.8,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
